Name of Institution,Street Address,City,ZIP Code,County,Georeference
ACMG Federal Credit Union,1763 Milton Avenue,Solvay,13209,Onondaga,POINT (-76.20576 43.06126)
Abacus Federal Savings Bank,36-30 Main Street,Flushing,11354,Queens,POINT (-73.83155 40.76228)
Abacus Federal Savings Bank,5518 8th Avenue,Brooklyn,11220,Kings,POINT (-74.00701 40.63792)
Abacus Federal Savings Bank,6-8 Bowery,New York,10013,New York,POINT (-73.99749 40.71425)
Abacus Federal Savings Bank,104-116 Nassau Street,New York,10038,New York,POINT (-74.00727 40.71066)
Access Federal Credit Union,2094 Glenwood Plaza,Oneida,13421,Madison,POINT (-75.63241 43.0537)
Access Federal Credit Union,230 South James Street,Rome,13440,Oneida,POINT (-75.46053 43.20849)
Access Federal Credit Union,6 Franklin,Clinton,13323,Oneida,POINT (-75.38253 43.04741)
Access Federal Credit Union,390 West Seneca Street,Sherrill,13461,Oneida,POINT (-75.60661 43.07699)
Adirondack Bank,500 East Main Street,Little Falls,13365,Herkimer,POINT (-74.85928 43.04382)
Adirondack Bank,Utica College,Utica,13501,Oneida,
Adirondack Bank,13150 State Route 12,Boonville,13309,Oneida,POINT (-75.31594 43.47601)
Adirondack Bank,136 Oriskany Boulevard,Whitesboro,13492,Oneida,POINT (-75.29353 43.12031)
Adirondack Bank,448 Route 3,Plattsburgh,12901,Clinton,POINT (-73.49163 44.69693)
Adirondack Bank,38 Hadjis Way,Lake Placid,12946,Essex,POINT (-73.99889 44.29677)
Adirondack Bank,139 Church Street Extension,Saranac Lake,12983,Franklin,POINT (-74.13031 44.32844)
Adirondack Bank,67 Main Street,Saranac Lake,12983,Franklin,POINT (-74.13165 44.32633)
Adirondack Bank,2817 Genesee Street,Utica,13501,Oneida,POINT (-75.28472 43.07486)
Adirondack Bank,108 Codling Street,Old Forge,13420,Herkimer,POINT (-74.97061 43.71195)
Adirondack Bank,808 Main Street,Sylvan Beach,13157,Oneida,POINT (-75.72882 43.19907)
Adirondack Bank,4697 Commercial Drive,New Hartford,13413,Oneida,POINT (-75.31154 43.08968)
Adirondack Bank,214 North Washington Street,Herkimer,13350,Herkimer,POINT (-74.98617 43.02786)
Adirondack Bank,185 Genesee Street,Utica,13501,Oneida,POINT (-75.23121 43.1015)
Adirondack Bank,9576 Main Street,Holland Patent,13354,Oneida,POINT (-75.25441 43.24311)
Adirondack Bank,296 West Main Street,Ilion,13357,Herkimer,POINT (-75.0464 43.01998)
Adirondack Bank,29 West Main Street,Mohawk,13407,Herkimer,POINT (-75.00581 43.01113)
Adirondack Bank,1709 Black River Boulevard,Rome,13440,Oneida,POINT (-75.43945 43.23142)
"Adirondack Trust Company, The",315 Church Street,Saratoga Springs,12866,Saratoga,POINT (-73.8045 43.08548)
"Adirondack Trust Company, The",473 Broadway,Saratoga Springs,12866,Saratoga,POINT (-73.78533 43.08308)
"Adirondack Trust Company, The",2510 Route 9,Malta,12020,Saratoga,POINT (-73.79286 42.97236)
"Adirondack Trust Company, The",650 Maple Avenue - Route 9,Wilton,12866,Saratoga,POINT (-73.76817 43.12332)
"Adirondack Trust Company, The",112 Broadway,Saratoga Springs,12866,Saratoga,POINT (-73.78705 43.07539)
"Adirondack Trust Company, The",Route  50  and  Route 9,Saratoga Springs,12866,Saratoga,POINT (-73.78812 43.0751)
"Adirondack Trust Company, The",322 Ruhle Road,Ballston Lake,12019,Saratoga,POINT (-73.80847 42.93618)
"Adirondack Trust Company, The",3017 Route  50,Wilton,12866,Saratoga,POINT (-73.74739 43.10011)
"Adirondack Trust Company, The",13 Triebel Avenue,Ballston Spa,12020,Saratoga,POINT (-73.85219 43.04756)
"Adirondack Trust Company, The",224 Church Avenue,Ballston Spa,12020,Saratoga,POINT (-73.8519 42.99012)
"Adirondack Trust Company, The",24 Maple Street,Glens Falls,12801,Warren,POINT (-73.64543 43.31158)
"Adirondack Trust Company, The",376 Bay Road,Queensbury,12804,Saratoga,POINT (-73.65238 43.33505)
"Adirondack Trust Company, The",162 Northline Road,Ballston Spa,12020,Saratoga,POINT (-73.83798 43.02283)
Advantage Federal C.U.,100 Park Point Drive,Rochester,14623,Monroe,POINT (-77.65521 43.09219)
Advantage Federal C.U.,500 Wilson Boulevard,Rochester,14627,Monroe,POINT (-77.61957 43.13333)
Advantage Federal C.U.,52 Lomb Memorial Drive,Rochester,14623,Monroe,POINT (-77.6745 43.09147)
